zip_code,latitude,longitude,city,state
30002,,,Atlanta,GA
30030,,,Atlanta,GA
30032,,,Atlanta,GA
30033,,,Atlanta,GA
30067,,,Atlanta,GA
30079,,,Atlanta,GA
30080,,,Atlanta,GA
30081,,,Atlanta,GA
30084,,,Atlanta,GA
30303,,,Atlanta,GA
30305,,,Atlanta,GA
30306,,,Atlanta,GA
30307,,,Atlanta,GA
30308,,,Atlanta,GA
30309,,,Atlanta,GA
30310,,,Atlanta,GA
30311,,,Atlanta,GA
30312,,,Atlanta,GA
30319,,,Atlanta,GA
30324,,,Atlanta,GA
30326,,,Atlanta,GA
30327,,,Atlanta,GA
30328,,,Atlanta,GA
30329,,,Atlanta,GA
30337,,,Atlanta,GA
30338,,,Atlanta,GA
30339,,,Atlanta,GA
30340,,,Atlanta,GA
30341,,,Atlanta,GA
30342,,,Atlanta,GA
30344,,,Atlanta,GA
30345,,,Atlanta,GA
30346,,,Atlanta,GA
30354,,,Atlanta,GA
30360,,,Atlanta,GA
30363,,,Atlanta,GA
30364,,,Atlanta,GA
30342,,,Atlanta,GA
30343,,,Atlanta,GA
30344,,,Atlanta,GA
30347,,,Atlanta,GA
30348,,,Atlanta,GA
30349,,,Atlanta,GA
30351,,,Atlanta,GA
30353,,,Atlanta,GA
30354,,,Atlanta,GA
30355,,,Atlanta,GA
30357,,,Atlanta,GA
30358,,,Atlanta,GA
30361,,,Atlanta,GA
30363,,,Atlanta,GA
78610,,,Austin,TX
78613,,,Austin,TX
78617,,,Austin,TX
78641,,,Austin,TX
78652,,,Austin,TX
78653,,,Austin,TX
78660,,,Austin,TX
78664,,,Austin,TX
78681,,,Austin,TX
78701,,,Austin,TX
78702,,,Austin,TX
78703,,,Austin,TX
78704,,,Austin,TX
78705,,,Austin,TX
78712,,,Austin,TX
78717,,,Austin,TX
78719,,,Austin,TX
78721,,,Austin,TX
78722,,,Austin,TX
78723,,,Austin,TX
78724,,,Austin,TX
78725,,,Austin,TX
78726,,,Austin,TX
78727,,,Austin,TX
78728,,,Austin,TX
78729,,,Austin,TX
78730,,,Austin,TX
78731,,,Austin,TX
78732,,,Austin,TX
78733,,,Austin,TX
78734,,,Austin,TX
78735,,,Austin,TX
78736,,,Austin,TX
78737,,,Austin,TX
78738,,,Austin,TX
78739,,,Austin,TX
78741,,,Austin,TX
78742,,,Austin,TX
78744,,,Austin,TX
78745,,,Austin,TX
78746,,,Austin,TX
78747,,,Austin,TX
78748,,,Austin,TX
78749,,,Austin,TX
78750,,,Austin,TX
78751,,,Austin,TX
78752,,,Austin,TX
78753,,,Austin,TX
78754,,,Austin,TX
78755,,,Austin,TX
78756,,,Austin,TX
78757,,,Austin,TX
78758,,,Austin,TX
78759,,,Austin,TX
60601,,,Chicago,IL
60602,,,Chicago,IL
60603,,,Chicago,IL
60604,,,Chicago,IL
60605,,,Chicago,IL
60606,,,Chicago,IL
60607,,,Chicago,IL
60608,,,Chicago,IL
60609,,,Chicago,IL
60610,,,Chicago,IL
60611,,,Chicago,IL
60612,,,Chicago,IL
60613,,,Chicago,IL
60614,,,Chicago,IL
60615,,,Chicago,IL
60616,,,Chicago,IL
60617,,,Chicago,IL
60618,,,Chicago,IL
60619,,,Chicago,IL
60620,,,Chicago,IL
60621,,,Chicago,IL
60622,,,Chicago,IL
60623,,,Chicago,IL
60624,,,Chicago,IL
60625,,,Chicago,IL
60626,,,Chicago,IL
60628,,,Chicago,IL
60629,,,Chicago,IL
60630,,,Chicago,IL
60631,,,Chicago,IL
60632,,,Chicago,IL
60633,,,Chicago,IL
60634,,,Chicago,IL
60636,,,Chicago,IL
60637,,,Chicago,IL
60638,,,Chicago,IL
60639,,,Chicago,IL
60640,,,Chicago,IL
60641,,,Chicago,IL
60642,,,Chicago,IL
60643,,,Chicago,IL
60644,,,Chicago,IL
60645,,,Chicago,IL
60646,,,Chicago,IL
60647,,,Chicago,IL
60649,,,Chicago,IL
60651,,,Chicago,IL
60652,,,Chicago,IL
60653,,,Chicago,IL
60654,,,Chicago,IL
60655,,,Chicago,IL
60656,,,Chicago,IL
60657,,,Chicago,IL
60659,,,Chicago,IL
60660,,,Chicago,IL
60661,,,Chicago,IL
60663,,,Chicago,IL
60664,,,Chicago,IL
60665,,,Chicago,IL
60666,,,Chicago,IL
60667,,,Chicago,IL
60668,,,Chicago,IL
60669,,,Chicago,IL
60670,,,Chicago,IL
60671,,,Chicago,IL
60672,,,Chicago,IL
60673,,,Chicago,IL
60674,,,Chicago,IL
60675,,,Chicago,IL
60677,,,Chicago,IL
60678,,,Chicago,IL
60679,,,Chicago,IL
60680,,,Chicago,IL
60681,,,Chicago,IL
60683,,,Chicago,IL
60684,,,Chicago,IL
60685,,,Chicago,IL
60687,,,Chicago,IL
60690,,,Chicago,IL
60691,,,Chicago,IL
60693,,,Chicago,IL
60694,,,Chicago,IL
60697,,,Chicago,IL
60699,,,Chicago,IL
60701,,,Chicago,IL
37013,,,Nashville,TN
37027,,,Nashville,TN
37072,,,Nashville,TN
37076,,,Nashville,TN
37115,,,Nashville,TN
37138,,,Nashville,TN
37201,,,Nashville,TN
37203,,,Nashville,TN
37204,,,Nashville,TN
37205,,,Nashville,TN
37206,,,Nashville,TN
37207,,,Nashville,TN
37208,,,Nashville,TN
37209,,,Nashville,TN
37210,,,Nashville,TN
37211,,,Nashville,TN
37212,,,Nashville,TN
37214,,,Nashville,TN
37215,,,Nashville,TN
37216,,,Nashville,TN
37217,,,Nashville,TN
37218,,,Nashville,TN
37221,,,Nashville,TN
